date,USD/PLN,EUR/PLN,CHF/PLN,CHF/USD,EUR/USD
2024-01-15,3.9963,4.3748,4.6797,1.171,1.0947
2024-01-12,3.9746,4.3574,4.6556,1.1713,1.0963
2024-01-11,3.968,4.3505,4.6637,1.1753,1.0964
2024-01-10,3.9656,4.3413,4.6538,1.1735,1.0947
2024-01-09,3.9612,4.3351,4.6616,1.1768,1.0944
2024-01-08,3.9812,4.3548,4.6793,1.1753,1.0938
2024-01-05,3.985,4.3484,4.6714,1.1722,1.0912
2024-01-04,3.9684,4.3525,4.6718,1.1773,1.0968
2024-01-03,3.9909,4.3646,4.6873,1.1745,1.0936
2024-01-02,3.9432,4.3434,4.6596,1.1817,1.1015
2023-12-29,3.935,4.348,4.6828,1.19,1.105
2023-12-28,3.899,4.3392,4.6671,1.197,1.1129
2023-12-27,3.9178,4.3311,4.599,1.1739,1.1055
2023-12-22,3.9338,4.3288,4.597,1.1686,1.1004
2023-12-21,3.9645,4.3387,4.5988,1.16,1.0944
2023-12-20,3.9527,4.3341,4.5885,1.1609,1.0965
2023-12-19,3.9591,4.3321,4.5709,1.1545,1.0942
2023-12-18,3.9625,4.3269,4.5611,1.1511,1.092
2023-12-15,3.9326,4.3103,4.5374,1.1538,1.096
2023-12-14,3.9484,4.3053,4.5328,1.148,1.0904
2023-12-13,4.0149,4.3309,4.5827,1.1414,1.0787
2023-12-12,4.0204,4.3396,4.581,1.1394,1.0794
2023-12-11,4.0277,4.3366,4.5824,1.1377,1.0767
2023-12-08,4.0181,4.3303,4.5913,1.1427,1.0777
2023-12-07,4.0199,4.3334,4.6027,1.145,1.078
2023-12-06,4.0202,4.3382,4.5982,1.1438,1.0791
2023-12-05,3.991,4.3233,4.5689,1.1448,1.0833
2023-12-04,3.985,4.3337,4.5678,1.1462,1.0875
2023-12-01,3.991,4.3494,4.567,1.1443,1.0898
2023-11-30,3.981,4.3492,4.551,1.1432,1.0925
2023-11-29,3.9478,4.3327,4.5031,1.1407,1.0975
2023-11-28,3.975,4.3542,4.5175,1.1365,1.0954
2023-11-27,3.9769,4.3543,4.512,1.1346,1.0949
2023-11-24,4.0103,4.3722,4.5348,1.1308,1.0902
2023-11-23,3.9969,4.3658,4.5274,1.1327,1.0923
2023-11-22,4.018,4.3804,4.5433,1.1307,1.0902
2023-11-21,3.9882,4.3647,4.5106,1.131,1.0944
2023-11-20,3.9938,4.368,4.5248,1.133,1.0937
2023-11-17,4.0327,4.3767,4.5427,1.1265,1.0853
2023-11-16,4.0415,4.3854,4.5452,1.1246,1.0851
2023-11-15,4.0453,4.39,4.5495,1.1246,1.0852
2023-11-14,4.121,4.4163,4.572,1.1094,1.0717
2023-11-13,4.1474,4.4336,4.5975,1.1085,1.069
2023-11-10,4.1423,4.4227,4.5905,1.1082,1.0677
2023-11-09,4.1513,4.4413,4.61,1.1105,1.0699
2023-11-08,4.1804,4.4584,4.6343,1.1086,1.0665
2023-11-07,4.1667,4.4513,4.6283,1.1108,1.0683
2023-11-06,4.1512,4.4615,4.6322,1.1159,1.0747
2023-11-03,4.1857,4.4569,4.6293,1.106,1.0648
2023-11-02,4.1963,4.4582,4.6466,1.1073,1.0624
2023-10-31,4.1684,4.4475,4.6227,1.109,1.067
2023-10-30,4.204,4.4491,4.6546,1.1072,1.0583
2023-10-27,4.2267,4.4642,4.6935,1.1104,1.0562
2023-10-26,4.2395,4.4708,4.7123,1.1115,1.0546
2023-10-25,4.2284,4.4758,4.7236,1.1171,1.0585
2023-10-24,4.1884,4.4604,4.6974,1.1215,1.0649
2023-10-23,4.2022,4.4552,4.7083,1.1204,1.0602
2023-10-20,4.2194,4.4675,4.7328,1.1217,1.0588
2023-10-19,4.2264,4.4529,4.6989,1.1118,1.0536
2023-10-18,4.2035,4.4488,4.6753,1.1122,1.0584
2023-10-17,4.2131,4.4389,4.6676,1.1079,1.0536
