date,EUR/PLN,CHF/PLN
2024-01-15,4.3748,4.6797
2024-01-12,4.3574,4.6556
2024-01-11,4.3505,4.6637
2024-01-10,4.3413,4.6538
2024-01-09,4.3351,4.6616
2024-01-08,4.3548,4.6793
2024-01-05,4.3484,4.6714
2024-01-04,4.3525,4.6718
2024-01-03,4.3646,4.6873
2024-01-02,4.3434,4.6596
2023-12-29,4.348,4.6828
2023-12-28,4.3392,4.6671
2023-12-27,4.3311,4.599
2023-12-22,4.3288,4.597
2023-12-21,4.3387,4.5988
2023-12-20,4.3341,4.5885
2023-12-19,4.3321,4.5709
2023-12-18,4.3269,4.5611
2023-12-15,4.3103,4.5374
2023-12-14,4.3053,4.5328
2023-12-13,4.3309,4.5827
2023-12-12,4.3396,4.581
2023-12-11,4.3366,4.5824
2023-12-08,4.3303,4.5913
2023-12-07,4.3334,4.6027
2023-12-06,4.3382,4.5982
2023-12-05,4.3233,4.5689
2023-12-04,4.3337,4.5678
2023-12-01,4.3494,4.567
2023-11-30,4.3492,4.551
2023-11-29,4.3327,4.5031
2023-11-28,4.3542,4.5175
2023-11-27,4.3543,4.512
2023-11-24,4.3722,4.5348
2023-11-23,4.3658,4.5274
2023-11-22,4.3804,4.5433
2023-11-21,4.3647,4.5106
2023-11-20,4.368,4.5248
2023-11-17,4.3767,4.5427
2023-11-16,4.3854,4.5452
2023-11-15,4.39,4.5495
2023-11-14,4.4163,4.572
2023-11-13,4.4336,4.5975
2023-11-10,4.4227,4.5905
2023-11-09,4.4413,4.61
2023-11-08,4.4584,4.6343
2023-11-07,4.4513,4.6283
2023-11-06,4.4615,4.6322
2023-11-03,4.4569,4.6293
2023-11-02,4.4582,4.6466
2023-10-31,4.4475,4.6227
2023-10-30,4.4491,4.6546
2023-10-27,4.4642,4.6935
2023-10-26,4.4708,4.7123
2023-10-25,4.4758,4.7236
2023-10-24,4.4604,4.6974
2023-10-23,4.4552,4.7083
2023-10-20,4.4675,4.7328
2023-10-19,4.4529,4.6989
2023-10-18,4.4488,4.6753
2023-10-17,4.4389,4.6676
